schemaname,tablename,indexname,indexdef
public,qualification,idx_qualification_score,CREATE INDEX idx_qualification_score ON public.qualification USING btree (fit_score)
public,qualification,idx_qualification_company,CREATE INDEX idx_qualification_company ON public.qualification USING btree (company_id)
public,qualification,qualification_pkey,CREATE UNIQUE INDEX qualification_pkey ON public.qualification USING btree (id)
public,qualification,idx_qualification_brand,CREATE INDEX idx_qualification_brand ON public.qualification USING btree (brand_id)
public,replies,replies_pkey,CREATE UNIQUE INDEX replies_pkey ON public.replies USING btree (id)
public,replies,idx_replies_company,CREATE INDEX idx_replies_company ON public.replies USING btree (company_id)
public,replies,idx_replies_intent,CREATE INDEX idx_replies_intent ON public.replies USING btree (intent)
public,replies,unique_message_id,CREATE UNIQUE INDEX unique_message_id ON public.replies USING btree (message_id)
public,replies,idx_replies_brand,CREATE INDEX idx_replies_brand ON public.replies USING btree (brand_id)
public,research,research_pkey,CREATE UNIQUE INDEX research_pkey ON public.research USING btree (id)
public,research,idx_research_company,CREATE INDEX idx_research_company ON public.research USING btree (company_id)
public,research,idx_research_brand,CREATE INDEX idx_research_brand ON public.research USING btree (brand_id)
public,scoring_versions,scoring_versions_pkey,CREATE UNIQUE INDEX scoring_versions_pkey ON public.scoring_versions USING btree (id)
public,scoring_versions,idx_scoring_versions_brand_active,"CREATE INDEX idx_scoring_versions_brand_active ON public.scoring_versions USING btree (brand_id, is_active)"
public,scoring_versions,idx_scoring_versions_brand,CREATE INDEX idx_scoring_versions_brand ON public.scoring_versions USING btree (brand_id)
public,scoring_versions,idx_one_active_scoring_per_brand,CREATE UNIQUE INDEX idx_one_active_scoring_per_brand ON public.scoring_versions USING btree (brand_id) WHERE (is_active = true)
public,send_counters,send_counters_pkey,CREATE UNIQUE INDEX send_counters_pkey ON public.send_counters USING btree (id)
public,send_counters,idx_send_counters_brand_date,"CREATE INDEX idx_send_counters_brand_date ON public.send_counters USING btree (brand_id, bucket_start)"
public,send_counters,idx_unique_send_hour,"CREATE UNIQUE INDEX idx_unique_send_hour ON public.send_counters USING btree (brand_id, counter_type, bucket_start)"
public,send_counters,idx_send_counters_brand,CREATE INDEX idx_send_counters_brand ON public.send_counters USING btree (brand_id)
public,send_counters,idx_send_counters_bucket,CREATE INDEX idx_send_counters_bucket ON public.send_counters USING btree (bucket_start)
public,send_counters,idx_send_counters_product,CREATE INDEX idx_send_counters_product ON public.send_counters USING btree (product)
public,send_counters,unique_product_bucket,"CREATE UNIQUE INDEX unique_product_bucket ON public.send_counters USING btree (product, counter_type, bucket_start)"
public,sending_domains,sending_domains_pkey,CREATE UNIQUE INDEX sending_domains_pkey ON public.sending_domains USING btree (id)
public,sending_domains,sending_domains_brand_id_domain_key,"CREATE UNIQUE INDEX sending_domains_brand_id_domain_key ON public.sending_domains USING btree (brand_id, domain)"
public,sending_domains,sending_domains_brand_idx,CREATE INDEX sending_domains_brand_idx ON public.sending_domains USING btree (brand_id)
public,sending_domains,sending_domains_active_idx,CREATE INDEX sending_domains_active_idx ON public.sending_domains USING btree (is_active)
public,sent_messages,sent_messages_message_key_key,CREATE UNIQUE INDEX sent_messages_message_key_key ON public.sent_messages USING btree (message_key)
public,sent_messages,idx_sent_messages_lead,CREATE INDEX idx_sent_messages_lead ON public.sent_messages USING btree (lead_id)
public,sent_messages,idx_sent_messages_brand,CREATE INDEX idx_sent_messages_brand ON public.sent_messages USING btree (brand_id)
